"","x","y","row","col","tipe","jenis","sistem"
"1",6.55,0,1,1,"karet","karet","mono"
"2",6.55,2.7,2,1,"karet","karet","mono"
"3",6.55,5.4,3,1,"karet","karet","mono"
"4",6.55,8.1,4,1,"karet","karet","mono"
"5",6.55,10.8,5,1,"karet","karet","mono"
"6",6.55,13.5,6,1,"karet","karet","mono"
"7",6.55,16.2,7,1,"karet","karet","mono"
"8",6.55,18.9,8,1,"karet","karet","mono"
"9",6.55,21.6,9,1,"karet","karet","mono"
"10",6.55,24.3,10,1,"karet","karet","mono"
"11",6.55,27,11,1,"karet","karet","mono"
"12",6.55,29.7,12,1,"karet","karet","mono"
"13",6.55,32.4,13,1,"karet","karet","mono"
"14",6.55,35.1,14,1,"karet","karet","mono"
"15",6.55,37.8,15,1,"karet","karet","mono"
"16",6.55,40.5,16,1,"karet","karet","mono"
"17",6.55,43.2,17,1,"karet","karet","mono"
"18",6.55,45.9,18,1,"karet","karet","mono"
"19",6.55,48.6,19,1,"karet","karet","mono"
"20",8.85,1.35,1,2,"karet","karet","mono"
"21",8.85,4.05,2,2,"karet","karet","mono"
"22",8.85,6.75,3,2,"karet","karet","mono"
"23",8.85,9.45,4,2,"karet","karet","mono"
"24",8.85,12.15,5,2,"karet","karet","mono"
"25",8.85,14.85,6,2,"karet","karet","mono"
"26",8.85,17.55,7,2,"karet","karet","mono"
"27",8.85,20.25,8,2,"karet","karet","mono"
"28",8.85,22.95,9,2,"karet","karet","mono"
"29",8.85,25.65,10,2,"karet","karet","mono"
"30",8.85,28.35,11,2,"karet","karet","mono"
"31",8.85,31.05,12,2,"karet","karet","mono"
"32",8.85,33.75,13,2,"karet","karet","mono"
"33",8.85,36.45,14,2,"karet","karet","mono"
"34",8.85,39.15,15,2,"karet","karet","mono"
"35",8.85,41.85,16,2,"karet","karet","mono"
"36",8.85,44.55,17,2,"karet","karet","mono"
"37",8.85,47.25,18,2,"karet","karet","mono"
"38",8.85,49.95,19,2,"karet","karet","mono"
"39",23.85,0,1,3,"karet","karet","mono"
"40",23.85,2.7,2,3,"karet","karet","mono"
"41",23.85,5.4,3,3,"karet","karet","mono"
"42",23.85,8.1,4,3,"karet","karet","mono"
"43",23.85,10.8,5,3,"karet","karet","mono"
"44",23.85,13.5,6,3,"karet","karet","mono"
"45",23.85,16.2,7,3,"karet","karet","mono"
"46",23.85,18.9,8,3,"karet","karet","mono"
"47",23.85,21.6,9,3,"karet","karet","mono"
"48",23.85,24.3,10,3,"karet","karet","mono"
"49",23.85,27,11,3,"karet","karet","mono"
"50",23.85,29.7,12,3,"karet","karet","mono"
"51",23.85,32.4,13,3,"karet","karet","mono"
"52",23.85,35.1,14,3,"karet","karet","mono"
"53",23.85,37.8,15,3,"karet","karet","mono"
"54",23.85,40.5,16,3,"karet","karet","mono"
"55",23.85,43.2,17,3,"karet","karet","mono"
"56",23.85,45.9,18,3,"karet","karet","mono"
"57",23.85,48.6,19,3,"karet","karet","mono"
"58",26.15,1.35,1,4,"karet","karet","mono"
"59",26.15,4.05,2,4,"karet","karet","mono"
