"","x","y","posisi","jalur","type","species","sistem"
"1",6.55,0,1,1,"Karet","Karet","kompleks"
"2",6.55,2.7,2,1,"Karet","Karet","kompleks"
"3",6.55,5.4,3,1,"Karet","Karet","kompleks"
"4",6.55,8.1,4,1,"Karet","Karet","kompleks"
"5",6.55,10.8,5,1,"Karet","Karet","kompleks"
"6",6.55,13.5,6,1,"Karet","Karet","kompleks"
"7",6.55,16.2,7,1,"Karet","Karet","kompleks"
"8",6.55,18.9,8,1,"Karet","Karet","kompleks"
"9",6.55,21.6,9,1,"Karet","Karet","kompleks"
"10",6.55,24.3,10,1,"Karet","Karet","kompleks"
"11",6.55,27,11,1,"Karet","Karet","kompleks"
"12",6.55,29.7,12,1,"Karet","Karet","kompleks"
"13",6.55,32.4,13,1,"Karet","Karet","kompleks"
"14",6.55,35.1,14,1,"Karet","Karet","kompleks"
"15",6.55,37.8,15,1,"Karet","Karet","kompleks"
"16",6.55,40.5,16,1,"Karet","Karet","kompleks"
"17",6.55,43.2,17,1,"Karet","Karet","kompleks"
"18",6.55,45.9,18,1,"Karet","Karet","kompleks"
"19",6.55,48.6,19,1,"Karet","Karet","kompleks"
"20",8.85,1.35,1,2,"Karet","Karet","kompleks"
"21",8.85,4.05,2,2,"Karet","Karet","kompleks"
"22",8.85,6.75,3,2,"Karet","Karet","kompleks"
"23",8.85,9.45,4,2,"Karet","Karet","kompleks"
"24",8.85,12.15,5,2,"Karet","Karet","kompleks"
"25",8.85,14.85,6,2,"Karet","Karet","kompleks"
"26",8.85,17.55,7,2,"Karet","Karet","kompleks"
"27",8.85,20.25,8,2,"Karet","Karet","kompleks"
"28",8.85,22.95,9,2,"Karet","Karet","kompleks"
"29",8.85,25.65,10,2,"Karet","Karet","kompleks"
"30",8.85,28.35,11,2,"Karet","Karet","kompleks"
"31",8.85,31.05,12,2,"Karet","Karet","kompleks"
"32",8.85,33.75,13,2,"Karet","Karet","kompleks"
"33",8.85,36.45,14,2,"Karet","Karet","kompleks"
"34",8.85,39.15,15,2,"Karet","Karet","kompleks"
"35",8.85,41.85,16,2,"Karet","Karet","kompleks"
"36",8.85,44.55,17,2,"Karet","Karet","kompleks"
"37",8.85,47.25,18,2,"Karet","Karet","kompleks"
"38",8.85,49.95,19,2,"Karet","Karet","kompleks"
"39",23.85,0,1,3,"Karet","Karet","kompleks"
"40",23.85,2.7,2,3,"Karet","Karet","kompleks"
"41",23.85,5.4,3,3,"Karet","Karet","kompleks"
"42",23.85,8.1,4,3,"Karet","Karet","kompleks"
"43",23.85,10.8,5,3,"Karet","Karet","kompleks"
"44",23.85,13.5,6,3,"Karet","Karet","kompleks"
"45",23.85,16.2,7,3,"Karet","Karet","kompleks"
"46",23.85,18.9,8,3,"Karet","Karet","kompleks"
"47",23.85,21.6,9,3,"Karet","Karet","kompleks"
"48",23.85,24.3,10,3,"Karet","Karet","kompleks"
"49",23.85,27,11,3,"Karet","Karet","kompleks"
"50",23.85,29.7,12,3,"Karet","Karet","kompleks"
"51",23.85,32.4,13,3,"Karet","Karet","kompleks"
"52",23.85,35.1,14,3,"Karet","Karet","kompleks"
"53",23.85,37.8,15,3,"Karet","Karet","kompleks"
"54",23.85,40.5,16,3,"Karet","Karet","kompleks"
"55",23.85,43.2,17,3,"Karet","Karet","kompleks"
"56",23.85,45.9,18,3,"Karet","Karet","kompleks"
"57",23.85,48.6,19,3,"Karet","Karet","kompleks"
"58",26.15,1.35,1,4,"Karet","Karet","kompleks"
"59",26.15,4.05,2,4,"Karet","Karet","kompleks"
"60",26.15,6.75,3,4,"Karet","Karet","kompleks"
"61",26.15,9.45,4,4,"Karet","Karet","kompleks"
"62",26.15,12.15,5,4,"Karet","Karet","kompleks"
"63",26.15,14.85,6,4,"Karet","Karet","kompleks"
"64",26.15,17.55,7,4,"Karet","Karet","kompleks"
"65",26.15,20.25,8,4,"Karet","Karet","kompleks"
"66",26.15,22.95,9,4,"Karet","Karet","kompleks"
"67",26.15,25.65,10,4,"Karet","Karet","kompleks"
"68",26.15,28.35,11,4,"Karet","Karet","kompleks"
"69",26.15,31.05,12,4,"Karet","Karet","kompleks"
"70",26.15,33.75,13,4,"Karet","Karet","kompleks"
"71",26.15,36.45,14,4,"Karet","Karet","kompleks"
"72",26.15,39.15,15,4,"Karet","Karet","kompleks"
"73",26.15,41.85,16,4,"Karet","Karet","kompleks"
"74",26.15,44.55,17,4,"Karet","Karet","kompleks"
"75",26.15,47.25,18,4,"Karet","Karet","kompleks"
