"","x","y","posisi","jalur","type","species","sistem"
"1",6.55,0,1,1,"Karet","Karet","regen"
"2",6.55,2.7,2,1,"Karet","Karet","regen"
"3",6.55,5.4,3,1,"Karet","Karet","regen"
"4",6.55,8.1,4,1,"Karet","Karet","regen"
"5",6.55,10.8,5,1,"Karet","Karet","regen"
"6",6.55,13.5,6,1,"Karet","Karet","regen"
"7",6.55,16.2,7,1,"Karet","Karet","regen"
"8",6.55,18.9,8,1,"Karet","Karet","regen"
"9",6.55,21.6,9,1,"Karet","Karet","regen"
"10",6.55,24.3,10,1,"Karet","Karet","regen"
"11",6.55,27,11,1,"Karet","Karet","regen"
"12",6.55,29.7,12,1,"Karet","Karet","regen"
"13",6.55,32.4,13,1,"Karet","Karet","regen"
"14",6.55,35.1,14,1,"Karet","Karet","regen"
"15",6.55,37.8,15,1,"Karet","Karet","regen"
"16",6.55,40.5,16,1,"Karet","Karet","regen"
"17",6.55,43.2,17,1,"Karet","Karet","regen"
"18",6.55,45.9,18,1,"Karet","Karet","regen"
"19",6.55,48.6,19,1,"Karet","Karet","regen"
"20",8.85,1.35,1,2,"Karet","Karet","regen"
"21",8.85,4.05,2,2,"Karet","Karet","regen"
"22",8.85,6.75,3,2,"Karet","Karet","regen"
"23",8.85,9.45,4,2,"Karet","Karet","regen"
"24",8.85,12.15,5,2,"Karet","Karet","regen"
"25",8.85,14.85,6,2,"Karet","Karet","regen"
"26",8.85,17.55,7,2,"Karet","Karet","regen"
"27",8.85,20.25,8,2,"Karet","Karet","regen"
"28",8.85,22.95,9,2,"Karet","Karet","regen"
"29",8.85,25.65,10,2,"Karet","Karet","regen"
"30",8.85,28.35,11,2,"Karet","Karet","regen"
"31",8.85,31.05,12,2,"Karet","Karet","regen"
"32",8.85,33.75,13,2,"Karet","Karet","regen"
"33",8.85,36.45,14,2,"Karet","Karet","regen"
"34",8.85,39.15,15,2,"Karet","Karet","regen"
"35",8.85,41.85,16,2,"Karet","Karet","regen"
"36",8.85,44.55,17,2,"Karet","Karet","regen"
"37",8.85,47.25,18,2,"Karet","Karet","regen"
"38",8.85,49.95,19,2,"Karet","Karet","regen"
"39",23.85,0,1,3,"Karet","Karet","regen"
"40",23.85,2.7,2,3,"Karet","Karet","regen"
"41",23.85,5.4,3,3,"Karet","Karet","regen"
"42",23.85,8.1,4,3,"Karet","Karet","regen"
"43",23.85,10.8,5,3,"Karet","Karet","regen"
"44",23.85,13.5,6,3,"Karet","Karet","regen"
"45",23.85,16.2,7,3,"Karet","Karet","regen"
"46",23.85,18.9,8,3,"Karet","Karet","regen"
"47",23.85,21.6,9,3,"Karet","Karet","regen"
"48",23.85,24.3,10,3,"Karet","Karet","regen"
"49",23.85,27,11,3,"Karet","Karet","regen"
"50",23.85,29.7,12,3,"Karet","Karet","regen"
"51",23.85,32.4,13,3,"Karet","Karet","regen"
"52",23.85,35.1,14,3,"Karet","Karet","regen"
"53",23.85,37.8,15,3,"Karet","Karet","regen"
"54",23.85,40.5,16,3,"Karet","Karet","regen"
"55",23.85,43.2,17,3,"Karet","Karet","regen"
"56",23.85,45.9,18,3,"Karet","Karet","regen"
"57",23.85,48.6,19,3,"Karet","Karet","regen"
"58",26.15,1.35,1,4,"Karet","Karet","regen"
"59",26.15,4.05,2,4,"Karet","Karet","regen"
"60",26.15,6.75,3,4,"Karet","Karet","regen"
"61",26.15,9.45,4,4,"Karet","Karet","regen"
"62",26.15,12.15,5,4,"Karet","Karet","regen"
"63",26.15,14.85,6,4,"Karet","Karet","regen"
"64",26.15,17.55,7,4,"Karet","Karet","regen"
"65",26.15,20.25,8,4,"Karet","Karet","regen"
"66",26.15,22.95,9,4,"Karet","Karet","regen"
"67",26.15,25.65,10,4,"Karet","Karet","regen"
"68",26.15,28.35,11,4,"Karet","Karet","regen"
"69",26.15,31.05,12,4,"Karet","Karet","regen"
